id,name,release,meter,score,thumb,summary
68,The Invisible Man,2/28/2020,92,88,https://resizing.flixster.com/tEb8Dq9hIf36h21vxW7ijyIJ88M=/206x305/v2/https://flxt.tmsimg.com/assets/p17290385_p_v8_ah.jpg,"After staging his own suicide, a crazed scientist uses his power to become invisible to stalk and terrorize his ex-girlfriend. When the police refuse to believe her story, she decides to take matters into her own hands and fight back."
69,12 Years a Slave,10/18/2013,95,90,https://resizing.flixster.com/E_lx0YF-P-KPs1I3Fzgwgdcdbcc=/206x305/v2/https://flxt.tmsimg.com/assets/p10029562_p_v8_ac.jpg,"In the years before the Civil War, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is kidnapped and sold into slavery in the South. Subjected to the cruelty of one malevolent owner (Michael Fassbender), he also finds unexpected kindness from another, as he struggles continually to survive and maintain some of his dignity. Then in the 12th year of the disheartening ordeal, a chance meeting with an abolitionist from Canada changes Solomon's life forever."
70,Once Upon a Time... In Hollywood,7/26/2019,85,70,https://resizing.flixster.com/aaz-RUTt3X7IAVu2uI0F9VFzCgE=/206x305/v2/https://resizing.flixster.com/yXi5lQ1W9__xz_IZOvflz1MD7Wg=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzFmOWVhNjA2LTAzZDMtNDQ2Yy1iN2FkLTc4YTgwODIxZDdjOS53ZWJw,"Actor Rick Dalton gained fame and fortune by starring in a 1950s television Western, but is now struggling to find meaningful work in a Hollywood that he doesn't recognize anymore. He spends most of his time drinking and palling around with Cliff Booth, his easygoing best friend and longtime stunt double. Rick also happens to live next door to Roman Polanski and Sharon Tate -- the filmmaker and budding actress whose futures will forever be altered by members of the Manson Family."
71,Argo,10/12/2012,96,90,https://resizing.flixster.com/ykPG32cI8SOMPE-8JpFoUrA99-s=/206x305/v2/https://flxt.tmsimg.com/assets/p9128357_p_v8_an.jpg,"On Nov. 4, 1979, militants storm the U.S. embassy in Tehran, Iran, taking 66 American hostages. Amid the chaos, six Americans manage to slip away and find refuge with the Canadian ambassador. Knowing that it's just a matter of time before the refugees are found and likely executed, the U.S. government calls on extractor Tony Mendez (Ben Affleck) to rescue them. Mendez's plan is to pose as a Hollywood producer scouting locations in Iran and train the refugees to act as his ""film"" crew."
72,Soul,12/25/2020,95,88,https://resizing.flixster.com/KPJ9M0gryFbvakft7M5ecvFV5yE=/206x305/v2/https://resizing.flixster.com/skDbQNFUeYjoY0B6uvtSicszwYM=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2E3NTJkZGFlLTA4MTQtNDQ1Ny1hYWRhLTMxMjJlNzI2ZGQxZC5qcGc=,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz -- and he's good. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul."
73,Ma Rainey's Black Bottom,11/25/2020,97,72,https://resizing.flixster.com/7wSBBOFgQTQKgdDU3NLd6FORv48=/206x305/v2/https://resizing.flixster.com/FDQKWCR1Noyw8CUCz7MAtLyXcx4=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzg2MTk4MGE1LWE1NGYtNDliYi05MWVlLTk2ZTRlMmQyMzE0My5qcGc=,"Tensions and temperatures rise over the course of an afternoon recording session in 1920s Chicago as a band of musicians await trailblazing performer, the legendary â€œMother of the Blues,â€ Ma Rainey (Academy AwardÂ® winner Viola Davis). Late to the session, the fearless, fiery Ma engages in a battle of wills with her white manager and producer over control of her music. As the band waits in the studioâ€™s claustrophobic rehearsal room, ambitious cornet player Levee (Chadwick Boseman) â€” who has an eye for Maâ€™s girlfriend and is determined to stake his own claim on the music industry â€” spurs his fellow musicians into an eruption of stories revealing truths that will forever change the course of their lives."
74,The Kid,1/21/1921,100,95,https://resizing.flixster.com/SnpWNhSDC79vz7RNiMKR5EXtR4s=/206x305/v2/https://resizing.flixster.com/YtLB5qSbTzBPmRtkxJ-bBXibIFU=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzUwNzliMTJlLTdkMDgtNDNkOC1hZjhjLTJlNmUzMjlkYTJmZC53ZWJw,"Chaplin's first full-length feature is a silent masterpiece about a little tramp who discovers a little orphan and brings him up but is left desolate when the orphanage reclaims him. Chaplin directed, produced and starred in the film, as well as composed the score."
75,Manchester by the Sea,12/16/2016,96,78,https://resizing.flixster.com/PgddY7dcixwtgWGk3TF62lfeoxE=/206x305/v2/https://resizing.flixster.com/EMPDOc--p2yAfZ2V5z5DdVGYpl8=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzVhNDgyZGIwLTRlZTYtNGE4OC1iZTA1LTY0NWQ3ZThjYzc4MS53ZWJw,"After the death of his older brother Joe, Lee Chandler (Casey Affleck) is shocked that Joe has made him sole guardian of his teenage nephew Patrick. Taking leave of his job as a janitor in Boston, Lee reluctantly returns to Manchester-by-the-Sea, the fishing village where his working-class family has lived for generations. There, he is forced to deal with a past that separated him from his wife, Randi (Michelle Williams), and the community where he was born and raised."
76,Nosferatu,3/5/1922,97,87,https://resizing.flixster.com/sJvtSY5lw22dPcgd3WfVapGzWa8=/206x305/v2/https://flxt.tmsimg.com/assets/p2866_p_v8_ab.jpg,"In this highly influential silent horror film, the mysterious Count Orlok (Max Schreck) summons Thomas Hutter (Gustav von Wangenheim) to his remote Transylvanian castle in the mountains. The eerie Orlok seeks to buy a house near Hutter and his wife, Ellen (Greta Schroeder). After Orlok reveals his vampire nature, Hutter struggles to escape the castle, knowing that Ellen is in grave danger. Meanwhile Orlok's servant, Knock (Alexander Granach), prepares for his master to arrive at his new home."
77,The Adventures of Robin Hood,2/11/1938,100,89,https://resizing.flixster.com/Pw64N-oe1IIMvZDrP-157qxhVs8=/206x305/v2/https://flxt.tmsimg.com/assets/p940_p_v8_af.jpg,"When King Richard the Lionheart is captured, his scheming brother Prince John (Claude Rains) plots to reach the throne, to the outrage of Sir Robin of Locksley (Errol Flynn), the bandit king of Sherwood Forest. Rounding up his band of men and eventually winning the support of the lovely Maid Marian (Olivia de Havilland), Robin accuses Prince John of treachery and, when the escaped Richard returns covertly to England, joins forces with the king to prevent Prince John from taking the crown."
78,La La Land,12/25/2016,91,81,https://resizing.flixster.com/rsDXU_nX23QkxPhtqvZ597QbWYI=/206x305/v2/https://resizing.flixster.com/Ryp9ggxDVbQLcTxxoK_NoQeEk04=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2U1ZDIyYTgzLWQxYjctNGY2MC1iNDRiLTYwZTBmOGEwOWM5Mi53ZWJw,"Sebastian (Ryan Gosling) and Mia (Emma Stone) are drawn together by their common desire to do what they love. But as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart."
79,North by Northwest,7/17/1959,97,94,https://resizing.flixster.com/eyWqm2qFyiH6BgQN9oeqjoaaxNU=/206x305/v2/https://flxt.tmsimg.com/NowShowing/43198/43198_aa.jpg,"This classic suspense film finds New York City ad executive Roger O. Thornhill (Cary Grant) pursued by ruthless spy Phillip Vandamm (James Mason) after Thornhill is mistaken for a government agent. Hunted relentlessly by Vandamm's associates, the harried Thornhill ends up on a cross-country journey, meeting the beautiful and mysterious Eve Kendall (Eva Marie Saint) along the way. Soon Vandamm's henchmen close in on Thornhill, resulting in a number of iconic action sequences."
80,Laura,10/11/1944,100,91,https://resizing.flixster.com/1OwNuIOVkWrsw-VzuhSb6bnFGB0=/206x305/v2/https://flxt.tmsimg.com/assets/p212_p_v8_aa.jpg,"In one of the most celebrated 1940s film noirs, Manhattan detective Mark McPherson (Dana Andrews) investigates the murder of Madison Avenue executive Laura Hunt (Gene Tierney) in her fashionable apartment. On the trail of her murderer, McPherson quizzes Laura's arrogant best friend, gossip columnist Waldo Lydecker (Clifton Webb) and her comparatively mild fiancé, Shelby Carpenter (Vincent Price). As the detective grows obsessed with the case, he finds himself falling in love with the dead woman."
81,Spider-Man: Far From Home,7/2/2019,90,95,https://resizing.flixster.com/PnX5EKpnvlow9KxvqdMShZ3uMs0=/206x305/v2/https://flxt.tmsimg.com/NowShowing/177947/177947_ac.jpg,"Peter Parker's relaxing European vacation takes an unexpected turn when Nick Fury shows up in his hotel room to recruit him for a mission. The world is in danger as four massive elemental creatures -- each representing Earth, air, water and fire -- emerge from a hole torn in the universe. Parker soon finds himself donning the Spider-Man suit to help Fury and fellow superhero Mysterio stop the evil entities from wreaking havoc across the continent."
82,Incredibles 2,6/15/2018,93,84,https://resizing.flixster.com/HEEPbrTuyY9-FqcDUGdzenN-4sA=/206x305/v2/https://resizing.flixster.com/IY_NzUgPaciSgAb5t0VIbrxUys0=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2JlNzAyYzliLTAzZWItNGMxMC1hMmNiLWM1YTk2MDZkYzFiMy53ZWJw,"Telecommunications guru Winston Deavor enlists Elastigirl to fight crime and make the public fall in love with superheroes once again. That leaves Mr. Incredible with one of his greatest challenges ever -- staying home and taking care of three rambunctious children. As Violet, Dash and Jack-Jack offer him a new set of headaches, a cybercriminal named Screenslaver launches his dastardly plan -- hypnotizing the world through computer screens."
83,Zootopia,3/4/2016,98,92,https://resizing.flixster.com/9VnR4p2oYzIgXn3Nx0YvesQfgjk=/206x305/v2/https://flxt.tmsimg.com/assets/p11993845_p_v8_am.jpg,"From the largest elephant to the smallest shrew, the city of Zootopia is a mammal metropolis where various animals live and thrive. When Judy Hopps (Ginnifer Goodwin) becomes the first rabbit to join the police force, she quickly learns how tough it is to enforce the law. Determined to prove herself, Judy jumps at the opportunity to solve a mysterious case. Unfortunately, that means working with Nick Wilde (Jason Bateman), a wily fox who makes her job even harder."
84,Alien,5/25/1979,98,94,https://resizing.flixster.com/Kz1Jl8aEV-OGmvLWEuRkWop7JPc=/206x305/v2/https://flxt.tmsimg.com/assets/p2571_p_v8_al.jpg,"In deep space, the crew of the commercial starship Nostromo is awakened from their cryo-sleep capsules halfway through their journey home to investigate a distress call from an alien vessel. The terror begins when the crew encounters a nest of eggs inside the alien ship. An organism from inside an egg leaps out and attaches itself to one of the crew, causing him to fall into a coma."
85,King Kong,3/2/1933,99,86,https://resizing.flixster.com/VekSiTzvg-SYJAwl2sM2bJVmvjc=/206x305/v2/https://flxt.tmsimg.com/assets/p2242_p_v8_am.jpg,"Actress Ann Darrow (Fay Wray) and director Carl Denham (Robert Armstrong) travel to the Indian Ocean to do location shoots for Denham's new jungle picture. Along the way, the actress meets and falls for rugged First Mate John Driscoll (Bruce Cabot). Upon arriving at a mysterious island, Ann is taken hostage by natives who prepare her as a sacrifice to the enormous ape Kong who rules over their jungle. But when Ann is rescued and Kong is captured, the real trouble begins."
86,Shadow of a Doubt,1/1/1943,100,89,https://resizing.flixster.com/CmT4KRTe3DuWArn9S2kDWBj7I04=/206x305/v2/https://flxt.tmsimg.com/assets/p281_p_v8_af.jpg,"Uncle Charlie (Joseph Cotten) visits his relatives in Santa Rosa. He is a very charming man, but his niece slowly realizes that he is wanted for murder and he soon recognizes her suspicions. Although one of the suspected murderers is killed and the case is considered closed, she still has her suspicions."
87,Call Me by Your Name,1/19/2018,94,86,https://resizing.flixster.com/3-gKKPg8sjmk-rE4zz6eF3Rz6II=/206x305/v2/https://flxt.tmsimg.com/NowShowing/174274/174274_aa.jpg,"It's the summer of 1983, and precocious 17-year-old Elio Perlman is spending the days with his family at their 17th-century villa in Lombardy, Italy. He soon meets Oliver, a handsome doctoral student who's working as an intern for Elio's father. Amid the sun-drenched splendor of their surroundings, Elio and Oliver discover the heady beauty of awakening desire over the course of a summer that will alter their lives forever."
88,Psycho,6/16/1960,96,95,https://resizing.flixster.com/FEpYPZwCKhHM4nmHd0fr3Khy66M=/206x305/v2/https://flxt.tmsimg.com/assets/p283_p_v8_an.jpg,"Phoenix secretary Marion Crane (Janet Leigh), on the lam after stealing $40,000 from her employer in order to run away with her boyfriend, Sam Loomis (John Gavin), is overcome by exhaustion during a heavy rainstorm. Traveling on the back roads to avoid the police, she stops for the night at the ramshackle Bates Motel and meets the polite but highly strung proprietor Norman Bates (Anthony Perkins), a young man with an interest in taxidermy and a difficult relationship with his mother."
89,1917,1/10/2020,88,88,https://resizing.flixster.com/xn9hJ0PKVjKS0hFqBU8ZbTriSos=/206x305/v2/https://flxt.tmsimg.com/assets/p17060373_p_v8_ac.jpg,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother."
90,L.A. Confidential,9/19/1997,99,94,https://resizing.flixster.com/TQ8lr8vOLtaQqvjM1aRmEoeJe04=/206x305/v2/https://flxt.tmsimg.com/assets/p19411_p_v12_ah.jpg,"Three policemen, each with his own motives and obsessions, tackle the corruption surrounding an unsolved murder at a downtown Los Angeles coffee shop in the early 1950s. Detective Lieutenant Exley (Guy Pearce), the son of a murdered detective, is out to avenge his father's killing. The ex-partner of Officer White (Russell Crowe), implicated in a scandal rooted out by Exley, was one of the victims. Sergeant Vincennes (Kevin Spacey) feeds classified information to a tabloid magnate (Danny DeVito)."
91,The Florida Project,10/6/2017,96,80,https://resizing.flixster.com/GI374K5ghNYQ_zOGqMb_zY5mrDo=/206x305/v2/https://flxt.tmsimg.com/assets/p14263302_p_v8_as.jpg,"Set in the shadow of the most magical place on Earth, 6-year-old Moonee and her two best friends forge their own adventures, while Moonee's struggling mom and a kindhearted motel manager protect the kids from the harsh reality that surrounds them."
92,War for the Planet of the Apes,7/14/2017,94,84,https://resizing.flixster.com/G2T7ByPN6wKl1GrCXIr--QUQBuU=/206x305/v2/https://flxt.tmsimg.com/NowShowing/154458/154458_ac.jpg,"Caesar (Andy Serkis) and his apes are forced into a deadly conflict with an army of humans led by a ruthless colonel (Woody Harrelson). After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the colonel are pitted against each other in an epic battle that will determine the fate of both of their species and the future of the planet."
93,Paddington 2,1/12/2018,99,87,https://resizing.flixster.com/1u5JYcQU1tlFd9hQIZAMkMC2GQg=/206x305/v2/https://resizing.flixster.com/_jwM_7GSpEfRx7i0o50FOukxN0c=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzAxNmRiOTc4LTVjOGMtNDU2My04OWNhLTA0ZDFiMDhlYTRlNi53ZWJw,"Settled in with the Brown family, Paddington the bear is a popular member of the community who spreads joy and marmalade wherever he goes. One fine day, he spots a pop-up book in an antique shop -- the perfect present for his beloved aunt's 100th birthday. When a thief steals the prized book, Paddington embarks on an epic quest to unmask the culprit before Aunt Lucy's big celebration."
94,A Hard Day's Night,8/11/1964,98,89,https://resizing.flixster.com/kBTMV1Hb4jkd8UdxNGf249t29Us=/206x305/v2/https://flxt.tmsimg.com/assets/p10514_p_v8_aa.jpg,"The Beatles in their feature film debut, one of the greatest rock-and-roll comedy adventures ever. The film has a fully restored negative and digitally restored soundtrack. The film takes on the just-left-of-reality style of mock-documentary, following ""a day in the life"" of John, Paul, George, and Ringo as fame takes them by storm."
95,Widows,11/16/2018,91,61,https://resizing.flixster.com/1wMTyxQ_PZvAydCrz5U_73s0VDs=/206x305/v2/https://flxt.tmsimg.com/assets/p15495823_p_v8_ab.jpg,"A police shootout leaves four thieves dead during an explosive armed robbery attempt in Chicago. Their widows -- Veronica, Linda, Alice and Belle -- have nothing in common except a debt left behind by their spouses' criminal activities. Hoping to forge a future on their own terms, Veronica joins forces with the other three women to pull off a heist that her husband was planning."
96,Never Rarely Sometimes Always,3/13/2020,99,53,https://resizing.flixster.com/pYtC36e36KfWVoHjFd6PsMpLTzk=/206x305/v2/https://flxt.tmsimg.com/assets/p17733641_p_v8_aa.jpg,"Faced with an unintended pregnancy and a lack of local support, Autumn and her cousin, Skylar, travel across state lines to New York City on a fraught journey of friendship, bravery and compassion."
97,Baby Driver,6/28/2017,92,86,https://resizing.flixster.com/uFQqZC0-kgxr-bW6sgrF2ac-Q9A=/206x305/v2/https://resizing.flixster.com/GgA-k4P1vFrpzOXYwoDjev4klSo=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzQwYzVkN2Y2LWQ5M2QtNDI1Yi05NDAzLTM5ZTE1Y2U1ZDEyNy53ZWJw,"Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the game. After meeting the woman (Lily James) of his dreams, he sees a chance to ditch his shady lifestyle and make a clean break. Coerced into working for a crime boss (Kevin Spacey), Baby must face the music as a doomed heist threatens his life, love and freedom."
98,Spider-Man: Homecoming,7/7/2017,92,87,https://resizing.flixster.com/XQFzpvgkCf4XcCmJXu3UMw9nuP4=/206x305/v2/https://flxt.tmsimg.com/NowShowing/169646/169646_aa.jpg,"Thrilled by his experience with the Avengers, young Peter Parker returns home to live with his Aunt May. Under the watchful eye of mentor Tony Stark, Parker starts to embrace his newfound identity as Spider-Man. He also tries to return to his normal daily routine -- distracted by thoughts of proving himself to be more than just a friendly neighborhood superhero. Peter must soon put his powers to the test when the evil Vulture emerges to threaten everything that he holds dear."
99,"The Godfather, Part II",12/12/1974,96,97,https://resizing.flixster.com/TBfuMD-csQccn6ZxodAdo30alE4=/206x305/v2/https://flxt.tmsimg.com/assets/p6319_p_v8_bc.jpg,"The compelling sequel to ""The Godfather,"" contrasting the life of Corleone father and son. Traces the problems of Michael Corleone (Al Pacino) in 1958 and that of a young immigrant Vito Corleone (Robert De Niro) in 1917's Hell's Kitchen. Michael survives many misfortunes and Vito is introduced to a life of crime."
100,The Battle of Algiers,9/20/1967,99,95,https://resizing.flixster.com/zTcnjUzX_w4DfHxQFNYYgJXwIjc=/206x305/v2/https://flxt.tmsimg.com/assets/p379_p_v8_aa.jpg,"Paratrooper commander Colonel Mathieu (Jean Martin), a former French Resistance fighter during World War II, is sent to 1950s Algeria to reinforce efforts to squelch the uprisings of the Algerian War. There he faces Ali la Pointe (Brahim Haggiag), a former petty criminal who, as the leader of the Algerian Front de Liberation Nationale, directs terror strategies against the colonial French government occupation. As each side resorts to ever-increasing brutality, no violent act is too unthinkable."
